Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Japan,JPN,1993,829,124829000,0.000664109
Jordan,JOR,1993,11,4201559,0.000261808
Kazakhstan,KAZ,1993,474,16380672,0.002893654
Kenya,KEN,1993,287546,26136217,1.100182173
Kiribati,KIR,1993,2,75711,0.002641624
Kyrgyzstan,KGZ,1993,103,4516700,0.002280426
Laos,LAO,1993,36,4619946,0.00077923
Latvia,LVA,1993,172,2563290,0.006710126
Lebanon,LBN,1993,91,3246129,0.002803339
Lesotho,LSO,1993,24309,1822237,1.334019669
Liberia,LBR,1993,2659,1976701,0.134517056
Libya,LBY,1993,31,4755134,0.000651927
Lithuania,LTU,1993,83,3682613,0.002253834
Luxembourg,LUX,1993,24,397475,0.006038116
Madagascar,MDG,1993,349,12675469,0.00275335
Malawi,MWI,1993,129565,9710335,1.334300001
Malaysia,MYS,1993,2770,19484901,0.014216136
Maldives,MDV,1993,0,242596,0
Mali,MLI,1993,10008,9087173,0.110133261
Malta,MLT,1993,7,371308,0.001885227
Marshall Islands,MHL,1993,2,49828,0.004013807
Mauritania,MRT,1993,48,2198538,0.002183269
Mauritius,MUS,1993,8,1097374,0.000729013
Mexico,MEX,1993,9344,88625440,0.010543248
Micronesia (country),FSM,1993,6,103901,0.005774728
Moldova,MDA,1993,151,2973114,0.00507885
Monaco,MCO,1993,1,30145,0.0033173
Mongolia,MNG,1993,4,2263196,0.000176741
Montenegro,MNE,1993,4,610170,0.000655555
Morocco,MAR,1993,650,26155204,0.002485165
Mozambique,MOZ,1993,58640,14370950,0.408045397
Myanmar,MMR,1993,14487,42889992,0.033777111
Namibia,NAM,1993,13080,1555098,0.841104548
Nauru,NRU,1993,0,10287,0
Nepal,NPL,1993,162,20489973,0.000790631
Netherlands,NLD,1993,524,15290368,0.003426994
New Zealand,NZL,1993,37,3572200,0.001035776
Nicaragua,NIC,1993,105,4462496,0.002352943
Niger,NER,1993,6116,8860297,0.069027031
