country,code,Age,Number_of_deaths,Continent
Saudi Arabia,SAU,15 to 49,7981,Asia
Senegal,SEN,15 to 49,44514,Africa
Serbia,SRB,15 to 49,1204,Europe
Seychelles,SYC,15 to 49,83,Africa
Sierra Leone,SLE,15 to 49,45994,Africa
Singapore,SGP,15 to 49,755,Asia
Slovakia,SVK,15 to 49,81,Oceania
Slovenia,SVN,15 to 49,78,Europe
Solomon Islands,SLB,15 to 49,331,Oceania
Somalia,SOM,15 to 49,54457,Africa
South Africa,ZAF,15 to 49,3548113,Africa
South Korea,KOR,15 to 49,1301,Asia
South Sudan,SSD,15 to 49,83952,Africa
Spain,ESP,15 to 49,51022,Europe
Sri Lanka,LKA,15 to 49,1269,Asia
Sudan,SDN,15 to 49,65734,Africa
Suriname,SUR,15 to 49,2541,South America
Sweden,SWE,15 to 49,859,Europe
Switzerland,CHE,15 to 49,2176,Europe
Syria,SYR,15 to 49,312,Asia
Tajikistan,TJK,15 to 49,1884,Asia
Tanzania,TZA,15 to 49,1689817,Africa
Thailand,THA,15 to 49,460483,Asia
Timor-Leste,TLS,15 to 49,3356,Asia
Togo,TGO,15 to 49,124950,Africa
Tonga,TON,15 to 49,23,Oceania
Trinidad and Tobago,TTO,15 to 49,6564,North America
Tunisia,TUN,15 to 49,1470,Africa
Turkey,TUR,15 to 49,1697,Asia
Turkmenistan,TKM,15 to 49,3766,Asia
Tuvalu,TUV,15 to 49,4,Oceania
Uganda,UGA,15 to 49,1301577,Africa
Ukraine,UKR,15 to 49,156715,Europe
United Arab Emirates,ARE,15 to 49,1448,Asia
United Kingdom,GBR,15 to 49,7944,Europe
United States of America,USA,15 to 49,392211,North America
Uruguay,URY,15 to 49,2804,South America
Uzbekistan,UZB,15 to 49,10884,Asia
Vanuatu,VUT,15 to 49,147,Oceania
Venezuela,VEN,15 to 49,35672,South America
Vietnam,VNM,15 to 49,137924,Asia
Yemen,YEM,15 to 49,3520,Asia
Zambia,ZMB,15 to 49,772297,Africa
Zimbabwe,ZWE,15 to 49,1258225,Africa
Afghanistan,AFG,50 to 69,463,Asia
Albania,ALB,50 to 69,16,Europe
Algeria,DZA,50 to 69,1193,Africa
American Samoa,ASM,50 to 69,0,Oceania
Andorra,AND,50 to 69,28,Europe
Angola,AGO,50 to 69,32216,Africa
Antigua and Barbuda,ATG,50 to 69,59,North America
Argentina,ARG,50 to 69,8993,South America
Armenia,ARM,50 to 69,51,Europe
Australia,AUS,50 to 69,1530,Oceania
Austria,AUT,50 to 69,455,Europe
Azerbaijan,AZE,50 to 69,117,Europe
Bahamas,BHS,50 to 69,818,North America
Bahrain,BHR,50 to 69,59,Asia
Bangladesh,BGD,50 to 69,662,Asia
Barbados,BRB,50 to 69,253,North America
Belarus,BLR,50 to 69,909,Europe
Belgium,BEL,50 to 69,1078,Europe
Belize,BLZ,50 to 69,265,North America
Benin,BEN,50 to 69,9290,Africa
Bermuda,BMU,50 to 69,90,North America
Bhutan,BTN,50 to 69,99,Asia
Bolivia,BOL,50 to 69,2786,South America
Bosnia and Herzegovina,BIH,50 to 69,40,Europe
Botswana,BWA,50 to 69,39421,Africa
Brazil,BRA,50 to 69,79281,South America
Brunei,BRN,50 to 69,21,Asia
Bulgaria,BGR,50 to 69,716,Europe
Burkina Faso,BFA,50 to 69,53308,Africa
Burundi,BDI,50 to 69,46393,Africa
Cambodia,KHM,50 to 69,14929,Asia
Cameroon,CMR,50 to 69,106016,Africa
Canada,CAN,50 to 69,3754,North America
Cape Verde,CPV,50 to 69,450,Africa
Central African Republic,CAF,50 to 69,41441,Africa
Chad,TCD,50 to 69,18243,Africa
Chile,CHL,50 to 69,2781,South America
China,CHN,50 to 69,113978,Asia
Colombia,COL,50 to 69,13119,South America
Comoros,COM,50 to 69,0,Africa
Congo,COG,50 to 69,26186,Africa
Costa Rica,CRI,50 to 69,975,North America
Cote d'Ivoire,CIV,50 to 69,142814,Africa
Croatia,HRV,50 to 69,111,Europe
Cuba,CUB,50 to 69,1327,North America
Cyprus,CYP,50 to 69,33,Europe
Czechia,CZE,50 to 69,130,Europe
Democratic Republic of Congo,COD,50 to 69,147480,Africa
Denmark,DNK,50 to 69,489,Europe
Djibouti,DJI,50 to 69,2907,Africa
Dominica,DMA,50 to 69,33,North America
Dominican Republic,DOM,50 to 69,12354,North America
Ecuador,ECU,50 to 69,2969,South America
Egypt,EGY,50 to 69,559,Africa
El Salvador,SLV,50 to 69,3400,North America
Equatorial Guinea,GNQ,50 to 69,3794,Africa
Eritrea,ERI,50 to 69,10129,Africa
Estonia,EST,50 to 69,69,Europe
Eswatini,SWZ,50 to 69,20501,Africa
Ethiopia,ETH,50 to 69,228078,Africa
Fiji,FJI,50 to 69,28,Oceania
Finland,FIN,50 to 69,156,Europe
France,FRA,50 to 69,11858,Europe
Gabon,GAB,50 to 69,6825,Africa
Gambia,GMB,50 to 69,3087,Africa
Georgia,GEO,50 to 69,81,Europe
Germany,DEU,50 to 69,8644,Europe
Ghana,GHA,50 to 69,73642,Africa
Greece,GRC,50 to 69,237,Europe
Greenland,GRL,50 to 69,30,North America
Grenada,GRD,50 to 69,53,North America
Guam,GUM,50 to 69,35,Oceania
Guatemala,GTM,50 to 69,3148,North America
Guinea,GIN,50 to 69,15250,Africa
Guinea-Bissau,GNB,50 to 69,3777,Africa
Guyana,GUY,50 to 69,1023,South America
Haiti,HTI,50 to 69,47386,North America
Honduras,HND,50 to 69,638,North America
Hungary,HUN,50 to 69,1788,Europe
Iceland,ISL,50 to 69,4,Europe
India,IND,50 to 69,252542,Asia
Indonesia,IDN,50 to 69,5544,Asia
Iran,IRN,50 to 69,2029,Asia
Iraq,IRQ,50 to 69,118,Asia
Ireland,IRL,50 to 69,74,Europe
Israel,ISR,50 to 69,342,Asia
Italy,ITA,50 to 69,7870,Europe
Jamaica,JAM,50 to 69,2933,North America
Japan,JPN,50 to 69,3308,Asia
Jordan,JOR,50 to 69,57,Asia
Kazakhstan,KAZ,50 to 69,487,Asia
Kenya,KEN,50 to 69,380287,Africa
Kiribati,KIR,50 to 69,0,Oceania
Kuwait,KWT,50 to 69,3,Asia
Kyrgyzstan,KGZ,50 to 69,328,Asia
Laos,LAO,50 to 69,1151,Asia
Latvia,LVA,50 to 69,539,Europe
Lebanon,LBN,50 to 69,392,Asia
Lesotho,LSO,50 to 69,57896,Africa
Liberia,LBR,50 to 69,6685,Africa
Libya,LBY,50 to 69,182,Africa
Lithuania,LTU,50 to 69,530,Europe
Luxembourg,LUX,50 to 69,35,Europe
Madagascar,MDG,50 to 69,4855,Africa
Malawi,MWI,50 to 69,166410,Africa
Malaysia,MYS,50 to 69,7578,Asia
Maldives,MDV,50 to 69,0,Asia
Mali,MLI,50 to 69,22461,Africa
Malta,MLT,50 to 69,19,Europe
Marshall Islands,MHL,50 to 69,7,Oceania
Mauritania,MRT,50 to 69,295,Africa
Mauritius,MUS,50 to 69,271,Africa
Mexico,MEX,50 to 69,24892,North America
Moldova,MDA,50 to 69,357,Europe
Monaco,MCO,50 to 69,0,Europe
Mongolia,MNG,50 to 69,54,Asia
Montenegro,MNE,50 to 69,9,Europe
Morocco,MAR,50 to 69,2594,Africa
Mozambique,MOZ,50 to 69,170983,Africa
Myanmar,MMR,50 to 69,42029,Asia
Namibia,NAM,50 to 69,24187,Africa
Nauru,NRU,50 to 69,0,Oceania
Nepal,NPL,50 to 69,6291,Asia
Netherlands,NLD,50 to 69,1269,Europe
New Zealand,NZL,50 to 69,139,North America
Nicaragua,NIC,50 to 69,747,Africa
Niger,NER,50 to 69,10210,Africa
Nigeria,NGA,50 to 69,340895,Africa
North Korea,PRK,50 to 69,2123,Asia
North Macedonia,MKD,50 to 69,1,Europe
Northern Mariana Islands,MNP,50 to 69,0,Oceania
Norway,NOR,50 to 69,267,Europe
Oman,OMN,50 to 69,288,Asia
Pakistan,PAK,50 to 69,5401,Asia
Palau,PLW,50 to 69,1,North America
Palestine,PSE,50 to 69,11,Asia
Panama,PAN,50 to 69,2585,Oceania
Papua New Guinea,PNG,50 to 69,9480,South America
Paraguay,PRY,50 to 69,1642,South America
Peru,PER,50 to 69,6215,Asia
Philippines,PHL,50 to 69,15478,Europe
Poland,POL,50 to 69,635,Europe
Portugal,PRT,50 to 69,4418,Europe
Puerto Rico,PRI,50 to 69,4202,North America
Qatar,QAT,50 to 69,19,Asia
Romania,ROU,50 to 69,642,Europe
Russia,RUS,50 to 69,25471,Europe
Rwanda,RWA,50 to 69,33218,Africa
Saint Kitts and Nevis,KNA,50 to 69,106,North America
Saint Lucia,LCA,50 to 69,50,North America
Saint Vincent and the Grenadines,VCT,50 to 69,120,North America
Samoa,WSM,50 to 69,41,Oceania
San Marino,SMR,50 to 69,0,Europe
Sao Tome and Principe,STP,50 to 69,0,Africa
Saudi Arabia,SAU,50 to 69,1742,Asia
Senegal,SEN,50 to 69,10517,Africa
Serbia,SRB,50 to 69,392,Europe
Seychelles,SYC,50 to 69,30,Africa
Sierra Leone,SLE,50 to 69,8172,Africa
Singapore,SGP,50 to 69,444,Asia
Slovakia,SVK,50 to 69,29,Oceania
Slovenia,SVN,50 to 69,24,Europe
Solomon Islands,SLB,50 to 69,84,Oceania
